"go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0007179",3,"GO:1903034",0.164,1.66447389911883,144,"transforming growth factor beta receptor signaling pathway","regulation of response to wounding"
"GO:0060986",4,"GO:0044706",0.193,1.6617423789649,0,"endocrine hormone secretion","multi-multicellular organism process"
"GO:0015914",6,"GO:0098657",0.337,1.65971432347427,30,"phospholipid transport","import into cell"
"GO:0071559",3,"GO:1903034",0.167,1.65922335524106,10,"response to transforming growth factor beta","regulation of response to wounding"
"GO:0006936",4,"GO:0044706",0.229,1.65922335524106,113,"muscle contraction","multi-multicellular organism process"
"GO:0045598",5,"GO:0061326",0.229,1.65922335524106,16,"regulation of fat cell differentiation","renal tubule development"
"GO:0001819",4,"GO:0044706",0.238,1.65922335524106,26,"positive regulation of cytokine production","multi-multicellular organism process"
"GO:0009154",10,"GO:1901136",0.86,1.65827732298844,2,"purine ribonucleotide catabolic process","carbohydrate derivative catabolic process"
"GO:0046545",14,"GO:0046660",0.99,1.65827732298844,5,"development of primary female sexual characteristics","female sex differentiation"
"GO:0030217",17,"GO:0042110",0.923,1.65827732298844,39,"T cell differentiation","T cell activation"
"GO:0099068",2,"GO:0034329",0.799,1.65827732298844,2,"postsynapse assembly","cell junction assembly"
"GO:0007435",5,"GO:0061326",0.268,1.64834669871832,7,"salivary gland morphogenesis","renal tubule development"
"GO:0030203",10,"GO:1901136",0.652,1.64383308241645,10,"glycosaminoglycan metabolic process","carbohydrate derivative catabolic process"
"GO:0051412",3,"GO:1903034",0.135,1.64364008215567,17,"response to corticosterone","regulation of response to wounding"
"GO:0072234",5,"GO:0061326",0.9,1.64364008215567,1,"metanephric nephron tubule development","renal tubule development"
"GO:0090100",3,"GO:1903034",0.37,1.64257800769866,0,"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","regulation of response to wounding"
"GO:0034101",9,"GO:0007599",0.428,1.64257800769866,9,"erythrocyte homeostasis","hemostasis"
"GO:0071222",18,"GO:0002237",0.946,1.63493510337256,181,"cellular response to lipopolysaccharide","response to molecule of bacterial origin"
"GO:0043406",11,"GO:0043087",0.628,1.63493510337256,66,"positive regulation of MAP kinase activity","regulation of GTPase activity"
"GO:0048771",4,"GO:0044706",0.208,1.63493510337256,8,"tissue remodeling","multi-multicellular organism process"
"GO:0001942",4,"GO:0044706",0.198,1.63189617192763,38,"hair follicle development","multi-multicellular organism process"
"GO:0006023",10,"GO:1901136",0.63,1.62875417347321,0,"aminoglycan biosynthetic process","carbohydrate derivative catabolic process"
"GO:0060998",2,"GO:0034329",0.312,1.62739257381731,11,"regulation of dendritic spine development","cell junction assembly"
"GO:0090130",4,"GO:0044706",0.225,1.62606181950831,0,"tissue migration","multi-multicellular organism process"
"GO:0030071",15,"GO:0007051",0.553,1.62556755838454,11,"regulation of mitotic metaphase/anaphase transition","spindle organization"
"GO:0014074",3,"GO:1903034",0.157,1.61252841863888,5,"response to purine-containing compound","regulation of response to wounding"
"GO:0045137",14,"GO:0046660",0.9,1.60725616356975,1,"development of primary sexual characteristics","female sex differentiation"
"GO:0016042",10,"GO:1901136",0.59,1.60725321671496,82,"lipid catabolic process","carbohydrate derivative catabolic process"
"GO:0055067",9,"GO:0007599",0.441,1.60466944182382,0,"monovalent inorganic cation homeostasis","hemostasis"
"GO:0010959",6,"GO:0098657",0.383,1.60466944182382,0,"regulation of metal ion transport","import into cell"
"GO:0035773",3,"GO:1903034",0.147,1.60391219911622,8,"insulin secretion involved in cellular response to glucose stimulus","regulation of response to wounding"
"GO:0003179",5,"GO:0061326",0.283,1.60391219911622,7,"heart valve morphogenesis","renal tubule development"
"GO:2000243",14,"GO:0046660",0.553,1.59924110698004,0,"positive regulation of reproductive process","female sex differentiation"
"GO:0010469",11,"GO:0043087",0.541,1.59842938539474,16,"regulation of signaling receptor activity","regulation of GTPase activity"
"GO:0036465",6,"GO:0098657",0.325,1.59766050254593,6,"synaptic vesicle recycling","import into cell"
"GO:0051222",6,"GO:0098657",0.364,1.59766050254593,3,"positive regulation of protein transport","import into cell"
"GO:0051446",14,"GO:0046660",0.503,1.59681886355211,2,"positive regulation of meiotic cell cycle","female sex differentiation"
"GO:0060396",3,"GO:1903034",0.141,1.59681886355211,14,"growth hormone receptor signaling pathway","regulation of response to wounding"
"GO:0003158",5,"GO:0061326",0.598,1.59090540686632,6,"endothelium development","renal tubule development"
"GO:0051932",8,"GO:0051056",0.25,1.58676939991937,15,"synaptic transmission, GABAergic","regulation of small GTPase mediated signal transduction"
"GO:0001505",9,"GO:0007599",0.459,1.57997198944577,4,"regulation of neurotransmitter levels","hemostasis"
"GO:0003170",5,"GO:0061326",0.286,1.57823249053583,8,"heart valve development","renal tubule development"
"GO:0046888",9,"GO:0007599",0.4,1.57823249053583,10,"negative regulation of hormone secretion","hemostasis"
"GO:0044331",7,"GO:0031589",0.559,1.578049974674,9,"cell-cell adhesion mediated by cadherin","cell-substrate adhesion"
"GO:0051590",6,"GO:0098657",0.299,1.578049974674,0,"positive regulation of neurotransmitter transport","import into cell"
"GO:0070661",12,"GO:0050673",0.658,1.578049974674,1,"leukocyte proliferation","epithelial cell proliferation"
"GO:0035329",8,"GO:0051056",0.463,1.578049974674,47,"hippo signaling","regulation of small GTPase mediated signal transduction"
"GO:0051495",2,"GO:0034329",0.344,1.578049974674,5,"positive regulation of cytoskeleton organization","cell junction assembly"
"GO:0006195",10,"GO:1901136",0.499,1.578049974674,13,"purine nucleotide catabolic process","carbohydrate derivative catabolic process"
"GO:0003184",5,"GO:0061326",0.253,1.578049974674,16,"pulmonary valve morphogenesis","renal tubule development"
"GO:0014068",8,"GO:0051056",0.56,1.578049974674,98,"positive regulation of phosphatidylinositol 3-kinase signaling","regulation of small GTPase mediated signal transduction"
"GO:0032800",10,"GO:1901136",0.12,1.578049974674,3,"receptor biosynthetic process","carbohydrate derivative catabolic process"
"GO:0007613",4,"GO:0044706",0.202,1.578049974674,86,"memory","multi-multicellular organism process"
"GO:0045684",5,"GO:0061326",0.456,1.578049974674,5,"positive regulation of epidermis development","renal tubule development"
"GO:0050773",2,"GO:0034329",0.329,1.578049974674,17,"regulation of dendrite development","cell junction assembly"
"GO:1905521",6,"GO:0098657",0.257,1.578049974674,2,"regulation of macrophage migration","import into cell"
"GO:0035107",5,"GO:0061326",0.277,1.578049974674,0,"appendage morphogenesis","renal tubule development"
"GO:0010575",4,"GO:0044706",0.183,1.578049974674,33,"positive regulation of vascular endothelial growth factor production","multi-multicellular organism process"
"GO:0035108",5,"GO:0061326",0.277,1.578049974674,14,"limb morphogenesis","renal tubule development"
"GO:0007219",3,"GO:1903034",0.164,1.56985658319098,135,"Notch signaling pathway","regulation of response to wounding"
"GO:0009187",22,"GO:0046058",0.959,1.56978749724537,0,"cyclic nucleotide metabolic process","cAMP metabolic process"
"GO:2001257",11,"GO:0043087",0.549,1.56978749724537,2,"regulation of cation channel activity","regulation of GTPase activity"
"GO:0009261",10,"GO:1901136",0.862,1.56780540790191,0,"ribonucleotide catabolic process","carbohydrate derivative catabolic process"
"GO:0009164",10,"GO:1901136",0.859,1.56780540790191,0,"nucleoside catabolic process","carbohydrate derivative catabolic process"
"GO:0071902",11,"GO:0043087",0.641,1.56780540790191,54,"positive regulation of protein serine/threonine kinase activity","regulation of GTPase activity"
"GO:0050905",4,"GO:0044706",0.2,1.56780540790191,20,"neuromuscular process","multi-multicellular organism process"
"GO:0060323",5,"GO:0061326",0.226,1.56708233932041,6,"head morphogenesis","renal tubule development"
"GO:0033572",6,"GO:0098657",0.306,1.56708233932041,40,"transferrin transport","import into cell"
"GO:1905517",6,"GO:0098657",0.264,1.56626559970956,3,"macrophage migration","import into cell"
"GO:0002090",6,"GO:0098657",0.316,1.56626559970956,7,"regulation of receptor internalization","import into cell"
"GO:0097061",2,"GO:0034329",0.751,1.55389541788042,5,"dendritic spine organization","cell junction assembly"
"GO:0032768",11,"GO:0043087",0.554,1.54885948278334,0,"regulation of monooxygenase activity","regulation of GTPase activity"
"GO:0030099",5,"GO:0061326",0.326,1.54786804459351,19,"myeloid cell differentiation","renal tubule development"
"GO:0048844",5,"GO:0061326",0.58,1.54786804459351,23,"artery morphogenesis","renal tubule development"
"GO:0043627",3,"GO:1903034",0.148,1.54786804459351,63,"response to estrogen","regulation of response to wounding"
"GO:0051098",11,"GO:0043087",0.571,1.5475832453882,4,"regulation of binding","regulation of GTPase activity"
"GO:0016331",5,"GO:0061326",0.6,1.54448906678307,11,"morphogenesis of embryonic epithelium","renal tubule development"
"GO:0097035",9,"GO:0007599",0.409,1.54324461250378,5,"regulation of membrane lipid distribution","hemostasis"
"GO:0071560",3,"GO:1903034",0.166,1.54324461250378,58,"cellular response to transforming growth factor beta stimulus","regulation of response to wounding"
"GO:0007265",8,"GO:0051056",0.909,1.54324461250378,84,"Ras protein signal transduction","regulation of small GTPase mediated signal transduction"
"GO:0050770",5,"GO:0061326",0.3,1.53666156524747,21,"regulation of axonogenesis","renal tubule development"
"GO:0018105",10,"GO:1901136",0.145,1.52929803693244,207,"peptidyl-serine phosphorylation","carbohydrate derivative catabolic process"
"GO:0048512",19,"GO:0042698",0.739,1.52929803693244,8,"circadian behavior","ovulation cycle"
"GO:0034656",10,"GO:1901136",0.495,1.52929803693244,15,"nucleobase-containing small molecule catabolic process","carbohydrate derivative catabolic process"
"GO:0104004",3,"GO:1903034",0.167,1.52929803693244,0,"cellular response to environmental stimulus","regulation of response to wounding"
"GO:0071214",3,"GO:1903034",0.167,1.52929803693244,0,"cellular response to abiotic stimulus","regulation of response to wounding"
"GO:0090132",4,"GO:0044706",0.225,1.52929803693244,1,"epithelium migration","multi-multicellular organism process"
"GO:0060393",3,"GO:1903034",0.355,1.52929803693244,4,"regulation of pathway-restricted SMAD protein phosphorylation","regulation of response to wounding"
"GO:0072575",5,"GO:0061326",0.255,1.52929803693244,0,"epithelial cell proliferation involved in liver morphogenesis","renal tubule development"
"GO:0072574",5,"GO:0061326",0.255,1.52929803693244,6,"hepatocyte proliferation","renal tubule development"
"GO:0046514",10,"GO:1901136",0.479,1.52929803693244,11,"ceramide catabolic process","carbohydrate derivative catabolic process"
"GO:0002693",6,"GO:0098657",0.245,1.52929803693244,4,"positive regulation of cellular extravasation","import into cell"
"GO:0072672",6,"GO:0098657",0.235,1.52929803693244,6,"neutrophil extravasation","import into cell"
"GO:0055064",9,"GO:0007599",0.362,1.52929803693244,11,"chloride ion homeostasis","hemostasis"
"GO:0046520",10,"GO:1901136",0.119,1.52929803693244,1,"sphingoid biosynthetic process","carbohydrate derivative catabolic process"
"GO:0046512",10,"GO:1901136",0.118,1.52929803693244,23,"sphingosine biosynthetic process","carbohydrate derivative catabolic process"
"GO:0046133",10,"GO:1901136",0.802,1.52929803693244,0,"pyrimidine ribonucleoside catabolic process","carbohydrate derivative catabolic process"
"GO:0046131",10,"GO:1901136",0.531,1.52929803693244,0,"pyrimidine ribonucleoside metabolic process","carbohydrate derivative catabolic process"
"GO:0045836",14,"GO:0046660",0.487,1.52929803693244,5,"positive regulation of meiotic nuclear division","female sex differentiation"
"GO:0010649",8,"GO:0051056",0.372,1.52929803693244,7,"regulation of cell communication by electrical coupling","regulation of small GTPase mediated signal transduction"
"GO:0050891",9,"GO:0007599",0.801,1.52870745993673,8,"multicellular organismal water homeostasis","hemostasis"
"GO:0033627",7,"GO:0031589",0.602,1.52870745993673,26,"cell adhesion mediated by integrin","cell-substrate adhesion"
"GO:0097529",6,"GO:0098657",0.3,1.52870745993673,0,"myeloid leukocyte migration","import into cell"
"GO:0071219",18,"GO:0002237",0.958,1.52870745993673,6,"cellular response to molecule of bacterial origin","response to molecule of bacterial origin"
"GO:0043270",6,"GO:0098657",0.363,1.52739033741974,5,"positive regulation of ion transport","import into cell"
"GO:1905954",6,"GO:0098657",0.274,1.52689259836143,0,"positive regulation of lipid localization","import into cell"
"GO:0046546",14,"GO:0046660",0.858,1.52425236627491,1,"development of primary male sexual characteristics","female sex differentiation"
"GO:0007292",4,"GO:0044706",0.685,1.52425236627491,19,"female gamete generation","multi-multicellular organism process"
"GO:0051896",8,"GO:0051056",0.608,1.52425236627491,17,"regulation of protein kinase B signaling","regulation of small GTPase mediated signal transduction"
"GO:0006694",10,"GO:1901136",0.145,1.51500055658163,29,"steroid biosynthetic process","carbohydrate derivative catabolic process"
"GO:0006775",22,"GO:0046058",0.405,1.51338607342794,0,"fat-soluble vitamin metabolic process","cAMP metabolic process"
"GO:0050714",6,"GO:0098657",0.343,1.51084671704994,49,"positive regulation of protein secretion","import into cell"
"GO:0010717",5,"GO:0061326",0.487,1.51084671704994,13,"regulation of epithelial to mesenchymal transition","renal tubule development"
"GO:0140253",23,"GO:0140253",1,1.5077277567942,2,"cell-cell fusion","cell-cell fusion"
"GO:0000768",23,"GO:0140253",0.998,1.5077277567942,5,"syncytium formation by plasma membrane fusion","cell-cell fusion"
"GO:0070252",1,"GO:0007015",0.754,1.50387770145466,4,"actin-mediated cell contraction","actin filament organization"
"GO:1904376",6,"GO:0098657",0.246,1.50241698422918,0,"negative regulation of protein localization to cell periphery","import into cell"
"GO:0071378",3,"GO:1903034",0.141,1.50241698422918,1,"cellular response to growth hormone stimulus","regulation of response to wounding"
"GO:0045109",2,"GO:0034329",0.287,1.50241698422918,22,"intermediate filament organization","cell junction assembly"
"GO:1904322",3,"GO:1903034",0.13,1.50219602762423,11,"cellular response to forskolin","regulation of response to wounding"
"GO:1904321",3,"GO:1903034",0.13,1.50219602762423,0,"response to forskolin","regulation of response to wounding"
"GO:0150104",4,"GO:0044706",0.173,1.50219602762423,0,"transport across blood-brain barrier","multi-multicellular organism process"
"GO:0072173",5,"GO:0061326",0.66,1.50219602762423,1,"metanephric tubule morphogenesis","renal tubule development"
"GO:0071281",3,"GO:1903034",0.13,1.50219602762423,7,"cellular response to iron ion","regulation of response to wounding"
"GO:0070757",3,"GO:1903034",0.13,1.50219602762423,11,"interleukin-35-mediated signaling pathway","regulation of response to wounding"
"GO:0070106",3,"GO:1903034",0.13,1.50219602762423,12,"interleukin-27-mediated signaling pathway","regulation of response to wounding"
"GO:0060767",12,"GO:0050673",0.735,1.50219602762423,0,"epithelial cell proliferation involved in prostate gland development","epithelial cell proliferation"
"GO:0032276",4,"GO:0044706",0.177,1.50219602762423,0,"regulation of gonadotropin secretion","multi-multicellular organism process"
"GO:0032060",2,"GO:0034329",0.442,1.50219602762423,11,"bleb assembly","cell junction assembly"
"GO:0006650",10,"GO:1901136",0.153,1.50219602762423,6,"glycerophospholipid metabolic process","carbohydrate derivative catabolic process"
"GO:0008406",14,"GO:0046660",0.899,1.50219602762423,11,"gonad development","female sex differentiation"
"GO:0051693",2,"GO:0034329",0.486,1.50219602762423,12,"actin filament capping","cell junction assembly"
"GO:0051180",6,"GO:0098657",0.318,1.50219602762423,6,"vitamin transport","import into cell"
"GO:1905314",5,"GO:0061326",0.273,1.49567385374579,1,"semi-lunar valve development","renal tubule development"
"GO:0009167",22,"GO:0046058",0.612,1.49567385374579,0,"purine ribonucleoside monophosphate metabolic process","cAMP metabolic process"
"GO:0150117",2,"GO:0034329",0.685,1.49547890175034,0,"positive regulation of cell-substrate junction organization","cell junction assembly"
"GO:0008209",9,"GO:0007599",0.379,1.49547890175034,17,"androgen metabolic process","hemostasis"
"GO:0045766",5,"GO:0061326",0.627,1.49547890175034,175,"positive regulation of angiogenesis","renal tubule development"
"GO:1904951",6,"GO:0098657",0.36,1.49510164452061,6,"positive regulation of establishment of protein localization","import into cell"
"GO:0034331",2,"GO:0034329",0.694,1.49453977210343,2,"cell junction maintenance","cell junction assembly"
"GO:0030149",10,"GO:1901136",0.495,1.49453977210343,9,"sphingolipid catabolic process","carbohydrate derivative catabolic process"
"GO:0010039",3,"GO:1903034",0.14,1.49453977210343,18,"response to iron ion","regulation of response to wounding"
"GO:0002691",6,"GO:0098657",0.252,1.49453977210343,1,"regulation of cellular extravasation","import into cell"
"GO:0018209",10,"GO:1901136",0.146,1.49439048273065,0,"peptidyl-serine modification","carbohydrate derivative catabolic process"
"GO:0051091",11,"GO:0043087",0.563,1.49439048273065,126,"positive regulation of DNA-binding transcription factor activity","regulation of GTPase activity"
"GO:0030834",2,"GO:0034329",0.303,1.49439048273065,2,"regulation of actin filament depolymerization","cell junction assembly"
"GO:0002793",6,"GO:0098657",0.348,1.49320585074351,3,"positive regulation of peptide secretion","import into cell"
"GO:0031644",4,"GO:0044706",0.206,1.49320585074351,3,"regulation of nervous system process","multi-multicellular organism process"
"GO:0045834",10,"GO:1901136",0.138,1.49091981852199,1,"positive regulation of lipid metabolic process","carbohydrate derivative catabolic process"
"GO:0021915",5,"GO:0061326",0.61,1.48886919204873,29,"neural tube development","renal tubule development"
"GO:0051897",8,"GO:0051056",0.59,1.48886919204873,195,"positive regulation of protein kinase B signaling","regulation of small GTPase mediated signal transduction"
"GO:0032943",12,"GO:0050673",0.653,1.48597720026596,1,"mononuclear cell proliferation","epithelial cell proliferation"
"GO:0006836",6,"GO:0098657",0.364,1.48402476093213,29,"neurotransmitter transport","import into cell"
"GO:0061035",5,"GO:0061326",0.477,1.48382668182952,3,"regulation of cartilage development","renal tubule development"
"GO:0008585",14,"GO:0046660",0.987,1.47431281712515,19,"female gonad development","female sex differentiation"
"GO:2000106",20,"GO:0070997",0.516,1.4716142994013,0,"regulation of leukocyte apoptotic process","neuron death"
"GO:0055074",9,"GO:0007599",0.489,1.4716142994013,23,"calcium ion homeostasis","hemostasis"
"GO:0045104",2,"GO:0034329",0.304,1.4716142994013,24,"intermediate filament cytoskeleton organization","cell junction assembly"
"GO:0007622",19,"GO:0042698",0.74,1.4716142994013,1,"rhythmic behavior","ovulation cycle"
"GO:0099010",2,"GO:0034329",0.664,1.46991356785168,1,"modification of postsynaptic structure","cell junction assembly"
"GO:0071371",3,"GO:1903034",0.135,1.46991356785168,6,"cellular response to gonadotropin stimulus","regulation of response to wounding"
"GO:0048339",5,"GO:0061326",0.429,1.46991356785168,8,"paraxial mesoderm development","renal tubule development"
"GO:0051402",20,"GO:0070997",0.962,1.46991356785168,42,"neuron apoptotic process","neuron death"
"GO:0009612",3,"GO:1903034",0.16,1.46991356785168,54,"response to mechanical stimulus","regulation of response to wounding"
"GO:0060348",5,"GO:0061326",0.302,1.46710080528654,47,"bone development","renal tubule development"
"GO:0021700",5,"GO:0061326",0.242,1.45902214255566,1,"developmental maturation","renal tubule development"
"GO:0033273",3,"GO:1903034",0.151,1.45548079382333,4,"response to vitamin","regulation of response to wounding"
"GO:0001656",5,"GO:0061326",0.799,1.45548079382333,29,"metanephros development","renal tubule development"
"GO:0031102",5,"GO:0061326",0.275,1.45548079382333,4,"neuron projection regeneration","renal tubule development"
"GO:0052126",18,"GO:0002237",0.548,1.45461296989213,0,"movement in host environment","response to molecule of bacterial origin"
"GO:0051100",11,"GO:0043087",0.532,1.45461296989213,2,"negative regulation of binding","regulation of GTPase activity"
"GO:0046395",10,"GO:1901136",0.587,1.45461296989213,2,"carboxylic acid catabolic process","carbohydrate derivative catabolic process"
"GO:0016054",10,"GO:1901136",0.587,1.45461296989213,0,"organic acid catabolic process","carbohydrate derivative catabolic process"
"GO:0031641",5,"GO:0061326",0.27,1.453504471649,20,"regulation of myelination","renal tubule development"
"GO:0006816",6,"GO:0098657",0.389,1.44632175406095,89,"calcium ion transport","import into cell"
"GO:0090278",9,"GO:0007599",0.388,1.42981646723548,0,"negative regulation of peptide hormone secretion","hemostasis"
"GO:2000649",6,"GO:0098657",0.318,1.42665710926879,23,"regulation of sodium ion transmembrane transporter activity","import into cell"
"GO:0051452",9,"GO:0007599",0.399,1.42665710926879,4,"intracellular pH reduction","hemostasis"
"GO:0042116",17,"GO:0042110",0.679,1.42665710926879,13,"macrophage activation","T cell activation"
"GO:0044242",10,"GO:1901136",0.576,1.42665710926879,4,"cellular lipid catabolic process","carbohydrate derivative catabolic process"
"GO:0072576",5,"GO:0061326",0.256,1.42592705567684,1,"liver morphogenesis","renal tubule development"
"GO:0042359",22,"GO:0046058",0.389,1.42592705567684,13,"vitamin D metabolic process","cAMP metabolic process"
"GO:0046651",12,"GO:0050673",0.652,1.42532937533421,7,"lymphocyte proliferation","epithelial cell proliferation"
"GO:0046173",22,"GO:0046058",0.41,1.42069149739163,0,"polyol biosynthetic process","cAMP metabolic process"
"GO:0035148",5,"GO:0061326",0.605,1.41748788890627,12,"tube formation","renal tubule development"
"GO:0071604",4,"GO:0044706",0.186,1.41748788890627,0,"transforming growth factor beta production","multi-multicellular organism process"
"GO:2000379",21,"GO:0040018",0.217,1.41748788890627,27,"positive regulation of reactive oxygen species metabolic process","positive regulation of multicellular organism growth"
"GO:0032091",11,"GO:0043087",0.51,1.41748788890627,80,"negative regulation of protein binding","regulation of GTPase activity"
"GO:0033135",10,"GO:1901136",0.135,1.41748788890627,7,"regulation of peptidyl-serine phosphorylation","carbohydrate derivative catabolic process"
